# Spectral unit: Wavelength [um]
# Wave/freq Total
1.732301258999999982e+00 8.951500000000000012e-01
1.735765862000000048e+00 8.670499999999999874e-01
1.739237394000000103e+00 8.330899999999999972e-01
1.742715867999999890e+00 7.835600000000000342e-01
1.746201300000000067e+00 8.189999999999999503e-01
1.749693702999999934e+00 7.741500000000000048e-01
1.753193089999999899e+00 7.473999999999999533e-01
1.756699476000000093e+00 8.020300000000000207e-01
1.760212874999999899e+00 7.730799999999999894e-01
1.763733301000000031e+00 7.161999999999999478e-01
1.767260768000000093e+00 6.530799999999999939e-01
1.770795289000000050e+00 6.439799999999999969e-01
1.774336879999999894e+00 6.665400000000000214e-01
1.777885552999999952e+00 5.837999999999999856e-01
1.781441325000000075e+00 4.582300000000000262e-01
1.785004207000000065e+00 4.305999999999999828e-01
1.788574215999999995e+00 3.921999999999999931e-01
1.792151363999999969e+00 3.887300000000000200e-01
1.795735666999999980e+00 2.791100000000000247e-01
1.799327137999999993e+00 2.048899999999999888e-01
1.802925791999999916e+00 1.400099999999999956e-01
1.806531644000000103e+00 5.492999999999999966e-02
1.810144707000000075e+00 6.257999999999999674e-02
1.813764997000000045e+00 2.373000000000000109e-02
1.817392526999999980e+00 7.839999999999999747e-03
1.821027312000000009e+00 8.130000000000000074e-03
1.824669365999999959e+00 6.000000000000000125e-03
1.828318705000000044e+00 4.100000000000000346e-03
1.831975342000000007e+00 1.100000000000000039e-04
1.835639293000000061e+00 0.000000000000000000e+00
1.839310572000000032e+00 0.000000000000000000e+00
1.842989192999999970e+00 0.000000000000000000e+00
1.846675171000000004e+00 2.000000000000000164e-05
1.850368521999999905e+00 2.000000000000000164e-05
1.854069259000000081e+00 0.000000000000000000e+00
1.857777396999999997e+00 0.000000000000000000e+00
1.861492952000000090e+00 0.000000000000000000e+00
1.865215937999999962e+00 2.000000000000000164e-05
1.868946369999999968e+00 4.000000000000000327e-05
1.872684261999999933e+00 2.000000000000000164e-05
1.876429630999999931e+00 0.000000000000000000e+00
1.880182489999999929e+00 4.000000000000000327e-05
1.883942854999999916e+00 1.200000000000000030e-04
1.887710741000000025e+00 8.000000000000000654e-05
1.891486162000000082e+00 4.600000000000000139e-04
1.895269134999999938e+00 4.400000000000000157e-04
1.899059673000000004e+00 4.400000000000000157e-04
1.902857792000000048e+00 3.899999999999999929e-04
1.906663508000000062e+00 0.000000000000000000e+00
1.910476835000000095e+00 1.000000000000000082e-05
1.914297788999999916e+00 1.000000000000000082e-05
1.918126384000000018e+00 3.200000000000000262e-04
1.921962637000000029e+00 5.800000000000000034e-04
1.925806562000000000e+00 1.879999999999999944e-03
1.929658174999999920e+00 1.750000000000000036e-03
1.933517492000000004e+00 1.469999999999999953e-03
1.937384527000000078e+00 7.329999999999999710e-03
1.941259295999999912e+00 6.550000000000000266e-03
1.945141814000000080e+00 2.749000000000000055e-02
1.949032097999999991e+00 4.324999999999999678e-02
1.952930161999999914e+00 7.933999999999999386e-02
1.956836022000000064e+00 9.055000000000000548e-02
1.960749695000000070e+00 7.667000000000000204e-02
1.964671193999999899e+00 1.033199999999999952e-01
1.968600536000000067e+00 2.270199999999999996e-01
1.972537736999999902e+00 3.821599999999999997e-01
1.976482813000000061e+00 4.380499999999999949e-01
1.980435777999999925e+00 4.876599999999999824e-01
1.984396650000000095e+00 5.516299999999999537e-01
1.988365442999999955e+00 5.593799999999999883e-01
1.992342174000000021e+00 5.661199999999999566e-01
1.996326859000000065e+00 6.115599999999999925e-01
2.000319511999999911e+00 5.487999999999999545e-01
2.004320150999999939e+00 3.299199999999999910e-01
2.008328791999999918e+00 2.043600000000000139e-01
2.012345449000000119e+00 2.909800000000000164e-01
2.016370139999999811e+00 3.320799999999999863e-01
2.020402879999999790e+00 3.313099999999999934e-01
2.024443686000000131e+00 4.642000000000000015e-01
2.028492573999999937e+00 6.500599999999999712e-01
2.032549559000000006e+00 7.541900000000000270e-01
2.036614657999999967e+00 8.149399999999999977e-01
2.040687886999999812e+00 8.396500000000000075e-01
2.044769263000000059e+00 8.287700000000000067e-01
2.048858801000000174e+00 8.460800000000000542e-01
2.052956518999999869e+00 7.532799999999999496e-01
2.057062431999999941e+00 6.113699999999999690e-01
2.061176557000000020e+00 6.468099999999999961e-01
2.065298910000000099e+00 6.902500000000000302e-01
2.069429507999999807e+00 6.722200000000000397e-01
2.073568367000000023e+00 6.920500000000000540e-01
2.077715503999999935e+00 7.570599999999999552e-01
2.081870934999999978e+00 8.396099999999999675e-01
2.086034676000000143e+00 8.639599999999999502e-01
2.090206745999999782e+00 8.779500000000000082e-01
2.094387159000000054e+00 8.936699999999999644e-01
2.098575933999999865e+00 9.182000000000000162e-01
2.102773084999999931e+00 8.741600000000000481e-01
2.106978632000000129e+00 8.840099999999999625e-01
